#Date,Temperatur,Luftfuktighet
2019-08-27 04:53:06,25.3,20
2019-08-27 05:56:18,24.9,67
2019-08-27 06:58:42,24.9,74
2019-08-27 07:52:18,25,75
2019-08-27 08:58:42,25.6,75
2019-08-27 09:50:42,26.2,75
2019-08-27 10:53:06,26.1,75
2019-08-27 11:55:30,26.2,75
2019-08-27 12:49:54,26.6,75
2019-08-27 13:53:54,27.7,74
2019-08-27 14:49:54,27.7,74
2019-08-27 15:57:06,27.8,74
2019-08-27 16:51:30,27.8,74
2019-08-27 17:58:42,27.3,73
2019-08-27 18:53:05,27.2,73
2019-08-27 19:57:53,26.9,70
2019-08-27 20:49:53,26.7,45
2019-08-27 21:53:05,26.5,59
2019-08-27 22:58:41,26.9,37
2019-08-27 23:52:17,26.5,20
2019-08-28 00:57:53,26.2,20
2019-08-28 01:50:41,26,20
2019-08-28 02:53:05,25.8,20
2019-08-28 03:55:29,25.7,20
2019-08-28 04:57:53,25.6,20
2019-08-28 05:50:41,25.6,35
2019-08-28 06:53:05,25.6,62
2019-08-28 07:55:29,25.5,72
2019-08-28 08:57:53,25.4,74
2019-08-28 09:49:53,25.8,75
2019-08-28 10:53:53,26.3,75
2019-08-28 11:58:41,26.1,74
2019-08-28 12:58:41,25.7,73
2019-08-28 13:38:40,25.7,75
2019-08-28 14:54:40,25.7,74
2019-08-28 15:49:52,25.6,74
2019-08-28 16:59:28,25.9,75
2019-08-28 17:57:04,26.1,75
2019-08-28 18:58:40,26.4,74
2019-08-28 19:57:52,26.5,70
2019-08-28 20:57:52,26.3,58
2019-08-28 21:49:52,26.3,58
2019-08-28 22:52:16,26.1,20
2019-08-28 23:59:28,25.9,20
2019-08-29 00:53:52,25.7,20
2019-08-29 01:25:04,25.7,20
2019-08-29 02:50:40,25.4,20
2019-08-29 03:53:04,25.4,20
2019-08-29 04:55:28,25.3,20
2019-08-29 05:57:52,25.2,54
2019-08-29 06:49:52,25.2,73
2019-08-29 07:52:15,25.3,72
2019-08-29 08:57:03,25.9,75
2019-08-29 09:58:39,25.9,74
2019-08-29 10:51:27,25.6,75
2019-08-29 11:53:52,25.9,75
2019-08-29 12:56:15,26.1,75
2019-08-29 13:58:39,25.6,74
2019-08-29 14:51:28,25.6,75
2019-08-29 15:55:27,25.5,75
2019-08-29 16:39:27,25.6,75
2019-08-29 17:57:03,25,74
2019-08-29 18:59:27,24.9,73
2019-08-29 19:52:15,25.2,72
2019-08-29 20:54:39,25.1,40
2019-08-29 21:57:03,25.2,58
2019-08-29 22:59:27,25.1,37
2019-08-29 23:52:15,24.8,20
2019-08-30 00:54:39,24.5,20
2019-08-30 01:57:03,24.3,20
2019-08-30 02:59:26,24.1,20
2019-08-30 03:51:26,23.9,20
2019-08-30 04:53:50,23.7,20
2019-08-30 05:56:14,23.6,62
2019-08-30 06:58:38,23.6,74
2019-08-30 07:50:39,23.6,75
2019-08-30 08:55:26,24.3,75
2019-08-30 09:56:14,25,75
2019-08-30 10:58:38,24.9,75
2019-08-30 11:52:14,24.9,75
2019-08-30 12:54:38,25.1,75
2019-08-30 13:57:02,25.3,75
2019-08-30 14:49:50,25.2,75
2019-08-30 15:52:14,25,75
2019-08-30 16:54:39,24.7,75
2019-08-30 17:57:02,24.8,74
2019-08-30 18:59:26,24.9,73
2019-08-30 19:51:26,24.7,70
2019-08-30 20:53:49,24.5,39
2019-08-30 21:56:13,24.4,37
2019-08-30 22:58:37,24.3,20
2019-08-30 23:50:38,24.2,20
2019-08-31 00:53:01,24.1,20
2019-08-31 01:55:25,24.1,20
2019-08-31 02:57:49,23.9,20
2019-08-31 04:00:14,23.8,20
2019-08-31 04:54:37,23.8,20
2019-08-31 05:49:01,23.7,50
2019-08-31 06:55:25,23.6,74
2019-08-31 07:53:01,23.8,75
2019-08-31 08:59:25,24.2,75
2019-08-31 09:53:01,24.5,75
2019-08-31 10:59:25,24.4,75
2019-08-31 11:52:13,24.6,75
2019-08-31 12:56:13,24.6,74
2019-08-31 13:50:37,24.7,75
2019-08-31 14:59:25,25.2,75
2019-08-31 15:51:24,25.8,75
2019-08-31 16:53:48,26.6,75
2019-08-31 17:56:12,27.4,73
2019-08-31 18:58:36,27.4,73
2019-08-31 19:50:36,27.3,70
2019-08-31 20:53:00,26.9,58
2019-08-31 21:55:24,26.7,58
2019-08-31 22:57:48,26.8,58
2019-08-31 23:51:24,26.6,20
2019-09-01 00:57:48,26.3,20
2019-09-01 01:52:12,26.1,20
2019-09-01 02:45:48,25.9,20
2019-09-01 03:53:48,25.8,20
2019-09-01 04:55:24,25.7,20
2019-09-01 05:59:24,25.6,34
2019-09-01 06:51:24,25.6,71
2019-09-01 07:58:36,25.7,75
2019-09-01 08:44:12,25.6,75
2019-09-01 09:54:36,26.1,75
2019-09-01 10:46:35,26.1,75
2019-09-01 11:58:35,25.7,73
2019-09-01 12:55:23,25.6,75
2019-09-01 13:58:36,26.1,75
2019-09-01 14:53:47,25.9,75
2019-09-01 15:56:59,25.9,75
2019-09-01 16:59:23,25.7,75
2019-09-01 17:51:23,25.4,75
2019-09-01 18:56:11,25.4,73
2019-09-01 19:58:35,25.7,69
2019-09-01 20:51:23,25.6,58
2019-09-01 21:57:47,25.1,58
2019-09-01 22:51:23,24.8,20
2019-09-01 23:56:59,24.5,20
2019-09-02 00:59:23,24.2,20
2019-09-02 01:52:59,24.1,20
2019-09-02 02:56:11,23.8,20
2019-09-02 03:58:35,23.7,20
2019-09-02 04:52:10,23.6,20
2019-09-02 05:59:22,23.3,59
2019-09-02 06:49:46,23.4,74
2019-09-02 07:56:58,23.6,75
2019-09-02 08:50:34,23.7,75
2019-09-02 09:52:10,24.4,75
2019-09-02 10:51:22,24.3,75
2019-09-02 11:54:34,24.3,75
2019-09-02 12:50:34,24.2,75
2019-09-02 13:56:58,24.3,75
2019-09-02 14:49:46,24.6,75
2019-09-02 15:54:34,24.6,75
2019-09-02 16:57:46,24.3,75
2019-09-02 17:52:10,24.3,74
2019-09-02 18:58:34,24.5,74
2019-09-02 19:56:58,24.7,69
2019-09-02 20:51:22,24.3,58
2019-09-02 21:56:58,24.2,59
